2018-03-17 02:39:37,868 - Model_1 - INFO - start training model...
2018-03-17 02:39:42,055 - Model_1 - INFO - batch_round: 1, cost in this train batch=5.703155994415283
2018-03-17 02:39:42,653 - Model_1 - INFO - batch_round: 2, cost in this train batch=5.704212665557861
2018-03-17 02:39:43,198 - Model_1 - INFO - batch_round: 3, cost in this train batch=5.70413875579834
2018-03-17 02:39:43,732 - Model_1 - INFO - batch_round: 4, cost in this train batch=5.703591823577881
2018-03-17 02:39:44,267 - Model_1 - INFO - batch_round: 5, cost in this train batch=5.703951358795166
2018-03-17 02:39:44,801 - Model_1 - INFO - batch_round: 6, cost in this train batch=5.7036824226379395
2018-03-17 02:39:45,335 - Model_1 - INFO - batch_round: 7, cost in this train batch=5.7041544914245605
2018-03-17 02:39:45,903 - Model_1 - INFO - batch_round: 8, cost in this train batch=5.7037458419799805
2018-03-17 02:39:46,494 - Model_1 - INFO - batch_round: 9, cost in this train batch=5.703962802886963
2018-03-17 02:39:49,472 - Model_1 - INFO - batch_round: 10, cost in this train batch=5.703882694244385
2018-03-17 02:39:50,022 - Model_1 - INFO - batch_round: 11, cost in this train batch=5.703713893890381
2018-03-17 02:39:50,569 - Model_1 - INFO - batch_round: 12, cost in this train batch=5.703351974487305
2018-03-17 02:39:51,123 - Model_1 - INFO - batch_round: 13, cost in this train batch=5.703671932220459
2018-03-17 02:39:51,663 - Model_1 - INFO - batch_round: 14, cost in this train batch=5.7033305168151855
2018-03-17 02:39:52,203 - Model_1 - INFO - batch_round: 15, cost in this train batch=5.703493118286133
2018-03-17 02:39:52,740 - Model_1 - INFO - batch_round: 16, cost in this train batch=5.703857898712158
2018-03-17 02:39:53,273 - Model_1 - INFO - batch_round: 17, cost in this train batch=5.704172134399414
2018-03-17 02:39:53,806 - Model_1 - INFO - batch_round: 18, cost in this train batch=5.7036051750183105
2018-03-17 02:39:54,342 - Model_1 - INFO - batch_round: 19, cost in this train batch=5.703405857086182
2018-03-17 02:39:54,880 - Model_1 - INFO - batch_round: 20, cost in this train batch=5.703768253326416
2018-03-17 02:39:55,414 - Model_1 - INFO - batch_round: 21, cost in this train batch=5.703866004943848
2018-03-17 02:39:55,948 - Model_1 - INFO - batch_round: 22, cost in this train batch=5.703652381896973
2018-03-17 02:39:56,486 - Model_1 - INFO - batch_round: 23, cost in this train batch=5.703463077545166
2018-03-17 02:39:57,026 - Model_1 - INFO - batch_round: 24, cost in this train batch=5.7038397789001465
2018-03-17 02:39:57,573 - Model_1 - INFO - batch_round: 25, cost in this train batch=5.70405912399292
2018-03-17 02:39:58,108 - Model_1 - INFO - batch_round: 26, cost in this train batch=5.703567981719971
2018-03-17 02:39:58,649 - Model_1 - INFO - batch_round: 27, cost in this train batch=5.703530788421631
2018-03-17 02:39:59,197 - Model_1 - INFO - batch_round: 28, cost in this train batch=5.703736782073975
2018-03-17 02:39:59,735 - Model_1 - INFO - batch_round: 29, cost in this train batch=5.7037129402160645
2018-03-17 02:40:00,287 - Model_1 - INFO - batch_round: 30, cost in this train batch=5.704281806945801
2018-03-17 02:40:00,836 - Model_1 - INFO - batch_round: 31, cost in this train batch=5.703920364379883
2018-03-17 02:40:01,390 - Model_1 - INFO - batch_round: 32, cost in this train batch=5.703530788421631
2018-03-17 02:40:01,931 - Model_1 - INFO - batch_round: 33, cost in this train batch=5.7036662101745605
2018-03-17 02:40:02,461 - Model_1 - INFO - batch_round: 34, cost in this train batch=5.703656196594238
2018-03-17 02:40:02,991 - Model_1 - INFO - batch_round: 35, cost in this train batch=5.703244209289551
2018-03-17 02:40:03,533 - Model_1 - INFO - batch_round: 36, cost in this train batch=5.70368766784668
2018-03-17 02:40:04,074 - Model_1 - INFO - batch_round: 37, cost in this train batch=5.703725814819336
2018-03-17 02:40:04,609 - Model_1 - INFO - batch_round: 38, cost in this train batch=5.7037506103515625
2018-03-17 02:40:05,146 - Model_1 - INFO - batch_round: 39, cost in this train batch=5.704033851623535
2018-03-17 02:40:05,692 - Model_1 - INFO - batch_round: 40, cost in this train batch=5.703827857971191
2018-03-17 02:40:06,237 - Model_1 - INFO - batch_round: 41, cost in this train batch=5.703873157501221
2018-03-17 02:40:06,782 - Model_1 - INFO - batch_round: 42, cost in this train batch=5.703372955322266
2018-03-17 02:40:07,319 - Model_1 - INFO - batch_round: 43, cost in this train batch=5.704113006591797
2018-03-17 02:40:07,849 - Model_1 - INFO - batch_round: 44, cost in this train batch=5.704045295715332
2018-03-17 02:40:08,404 - Model_1 - INFO - batch_round: 45, cost in this train batch=5.703709602355957
2018-03-17 02:40:08,943 - Model_1 - INFO - batch_round: 46, cost in this train batch=5.703739643096924
2018-03-17 02:40:09,477 - Model_1 - INFO - batch_round: 47, cost in this train batch=5.704061508178711
2018-03-17 02:40:10,042 - Model_1 - INFO - batch_round: 48, cost in this train batch=5.704143047332764
2018-03-17 02:40:10,569 - Model_1 - INFO - batch_round: 49, cost in this train batch=5.70371150970459
2018-03-17 02:40:11,124 - Model_1 - INFO - batch_round: 50, cost in this train batch=5.703768730163574
2018-03-17 02:40:11,676 - Model_1 - INFO - batch_round: 51, cost in this train batch=5.704493999481201
2018-03-17 02:40:12,220 - Model_1 - INFO - batch_round: 52, cost in this train batch=5.703197002410889
2018-03-17 02:40:12,760 - Model_1 - INFO - batch_round: 53, cost in this train batch=5.704095363616943
2018-03-17 02:40:13,297 - Model_1 - INFO - batch_round: 54, cost in this train batch=5.7036848068237305
2018-03-17 02:40:16,281 - Model_1 - INFO - batch_round: 55, cost in this train batch=5.703819274902344
2018-03-17 02:40:16,808 - Model_1 - INFO - batch_round: 56, cost in this train batch=5.7045207023620605
2018-03-17 02:40:17,350 - Model_1 - INFO - batch_round: 57, cost in this train batch=5.703241348266602
2018-03-17 02:40:17,891 - Model_1 - INFO - batch_round: 58, cost in this train batch=5.7038044929504395
2018-03-17 02:40:18,439 - Model_1 - INFO - batch_round: 59, cost in this train batch=5.703624725341797
2018-03-17 02:40:18,970 - Model_1 - INFO - batch_round: 60, cost in this train batch=5.703213691711426
2018-03-17 02:40:19,507 - Model_1 - INFO - batch_round: 61, cost in this train batch=5.703851699829102
2018-03-17 02:40:20,035 - Model_1 - INFO - batch_round: 62, cost in this train batch=5.703434467315674
2018-03-17 02:40:20,581 - Model_1 - INFO - batch_round: 63, cost in this train batch=5.703925132751465
2018-03-17 02:40:21,122 - Model_1 - INFO - batch_round: 64, cost in this train batch=5.703056812286377
2018-03-17 02:40:21,669 - Model_1 - INFO - batch_round: 65, cost in this train batch=5.703912734985352
2018-03-17 02:40:22,217 - Model_1 - INFO - batch_round: 66, cost in this train batch=5.704174041748047
2018-03-17 02:40:22,773 - Model_1 - INFO - batch_round: 67, cost in this train batch=5.7040863037109375
2018-03-17 02:40:23,324 - Model_1 - INFO - batch_round: 68, cost in this train batch=5.703991889953613
2018-03-17 02:40:23,872 - Model_1 - INFO - batch_round: 69, cost in this train batch=5.703652381896973
